nct_id,phase,sponsor_name,sponsor_type,study_title,cohort,age_min,age_max,type_lung_nsclc_adeno,type_lung_nsclc_large,type_lung_nsclc_squamous,type_lung_sclc,stage_i,stage_ii,stage_iii,stage_iv,stage_sclc_ls,stage_sclc_es,status_newly_diagnosed,status_relapse,status_refractory,marker_alk_oncogene,marker_egfr_mutation,marker_kras_mutation,treatment_radiation,treatment_radiation_exclusion_period_mo,treatment_chemo_systemic,treatment_chemo_systemic_exclusion_period_mo,treatment_chemo_adjuvant,treatment_chemo_adjuvant_exclusion_period_mo,treatment_tki,treatment_tki_exclusion_period_mo,eligibility_criteria_text

         15. Other severe acute or chronic medical or psychiatric conditions, or laboratory
             abnormalities that would impart, in the judgment of the investigator and/or sponsor,
             excess risk associated with study participation or study drug administration, and
             which would, therefore, make the patient inappropriate for entry into this study.

         16. Female patients must be surgically sterile or be postmenopausal, or must agree to use
             effective contraception during the period of the trial and for at least 90 days after
             completion of treatment.

         17. Male patients sexually active with a woman of childbearing potential must be
             surgically sterile or must agree to use effective contraception during the period of
             the trial and for at least 90 days after completion of treatment. The decision of
             effective contraception will be based on the judgment of the principal investigator.

         18. Breastfeeding women.

         19. Women with a positive pregnancy test.
      "

NCT02810457,Phase 3,Centus Biotherapeutics Limited,Industry,"A Randomised, Parallel, Double Blinded Study to Compare the Efficacy and Safety of FKB238 to Avastinå¨ In 1st Line Treatment for Patients With Advanced/Recurrent Non Squamous NSCLC in Combination of Paclitaxel and Carboplatin",1,18,150,include,include,,,,,,include,,,,,,exclude,exclude,,,,exclude,1800,,,,,"
        Inclusion Criteria:

          -  Patients aged 18 years or older

          -  Newly diagnosed advanced (stage IV) /recurrent non-squamous NSCLC for which they had
             not received any systemic anti-cancer therapy for metastatic disease

          -  Histologically or cytologically confirmed diagnosis of predominantly non-squamous
             NSCLC

          -  Existence of at least 1 measurable lesion by RECIST v1.1

          -  Adequate hematological, renal and liver function

          -  Eastern Collaborative Oncology Group Performance Status (ECOG PS) 0 or 1

          -  Life expectancy longer than 6 months

        Exclusion Criteria:

          -  Small cell lung cancer (SCLC) or combination SCLC and NSCLC. Squamous-cell tumors and
             mixed adenosquamous carcinomas of predominantly squamous nature

          -  Any unresolved toxicities from prior systemic therapy

          -  Known sensitizing EGFR mutations or EML4-ALK translocation positive mutations

          -  Previous dosing with vascular endothelial growth factor (VEGF) inhibitor

          -  Known hypersensitivity to any excipients of the Investigational Products (IPs) and
             combination chemotherapy

          -  Use of prohibited concomitant medication

          -  Known Hepatitis B, Hepatitis C, or human immunodeficiency virus (HIV) infection

          -  Fertile men or women of childbearing potential not using adequate contraception.

        Other inclusion/exclusion criteria may apply.
      "

NCT02810457,Phase 3,Centus Biotherapeutics Limited,Industry,"A Randomised, Parallel, Double Blinded Study to Compare the Efficacy and Safety of FKB238 to Avastinå¨ In 1st Line Treatment for Patients With Advanced/Recurrent Non Squamous NSCLC in Combination of Paclitaxel and Carboplatin",2,18,150,include,include,,,include,include,include,,,,,require,,exclude,exclude,,,,exclude,1800,,,,,"
        Inclusion Criteria:

          -  Patients aged 18 years or older

          -  Newly diagnosed advanced (stage IV) /recurrent non-squamous NSCLC for which they had
             not received any systemic anti-cancer therapy for metastatic disease

          -  Histologically or cytologically confirmed diagnosis of predominantly non-squamous
             NSCLC

          -  Existence of at least 1 measurable lesion by RECIST v1.1

          -  Adequate hematological, renal and liver function

          -  Eastern Collaborative Oncology Group Performance Status (ECOG PS) 0 or 1

          -  Life expectancy longer than 6 months

        Exclusion Criteria:

          -  Small cell lung cancer (SCLC) or combination SCLC and NSCLC. Squamous-cell tumors and
             mixed adenosquamous carcinomas of predominantly squamous nature

          -  Any unresolved toxicities from prior systemic therapy

          -  Known sensitizing EGFR mutations or EML4-ALK translocation positive mutations

          -  Previous dosing with vascular endothelial growth factor (VEGF) inhibitor

          -  Known hypersensitivity to any excipients of the Investigational Products (IPs) and
             combination chemotherapy

          -  Use of prohibited concomitant medication

          -  Known Hepatitis B, Hepatitis C, or human immunodeficiency virus (HIV) infection

          -  Fertile men or women of childbearing potential not using adequate contraception.

        Other inclusion/exclusion criteria may apply.
      "

NCT02775435,Phase 3,Merck Sharp & Dohme Corp.,Industry,"A Randomized, Double-Blind, Phase III Study of Carboplatin-Paclitaxel/Nab-Paclitaxel Chemotherapy With or Without Pembrolizumab (MK-3475) in First Line Metastatic Squamous Non-small Cell Lung Cancer Subjects (KEYNOTE-407)",1,18,150,,,include,,,,,include,,,,,,,,,,,exclude,1800,,,,,"
        Inclusion Criteria:

          -  Has a histologically or cytologically confirmed diagnosis of stage IV (M1a or
             M1b-American Joint Committee on Cancer [AJCC] 7th edition) squamous NSCLC.

          -  Has measurable disease based on RECIST 1.1 as determined by the local site
             investigator/radiology assessment.

          -  Has not received prior systemic treatment for metastatic NSCLC.

          -  Has provided tumor tissue from locations not radiated prior to biopsy.

          -  Has a life expectancy of at least 3 months.

          -  Has a performance status of 0 or 1 on the Eastern Cooperative Oncology Group (ECOG)
             Performance Status.

          -  Has adequate organ function.

          -  If female of childbearing potential, is willing to use an adequate method of
             contraception for the course of the study through 120 days after the last dose of
             study drug.

          -  If male with a female partner(s) of child-bearing potential, must agree to use an
             adequate method of contraception starting with the first dose of study drug through
             120 days after the last dose of study drug. Males with pregnant partners must agree
             to use a condom; no additional method of contraception is required for the pregnant
             partner.

        Exclusion Criteria:

          -  Has non-squamous histology NSCLC.

          -  Is currently participating and receiving study therapy or has participated in a study
             of an investigational agent and received study therapy or used an investigational
             device within 4 weeks prior to administration of pembrolizumab.

          -  Before the first dose of study drug: a) Has received prior systemic cytotoxic
             chemotherapy for metastatic disease; b) Has received other targeted or biological
             antineoplastic therapy (e.g., erlotinib, crizotinib, cetuximab) for metastatic
             disease; c) Has had major surgery (<3 weeks prior to first dose).

          -  Received radiation therapy to the lung that is > 30 Gy within 6 months of the first
             dose of study drug.

          -  Completed palliative radiotherapy within 7 days of the first dose of study drug.

          -  Is expected to require any other form of antineoplastic therapy while on study.

          -  Has received a live-virus vaccination within 30 days of planned treatment start.

          -  Has a known history of prior malignancy except if the participant has undergone
             potentially curative therapy with no evidence of that disease recurrence for 5 years
             since initiation of that therapy.

          -  Has known active central nervous system (CNS) metastases and/or carcinomatous
             meningitis.

          -  Has pre-existing peripheral neuropathy that is ‰ä´ Grade 2 by Common Terminology
             Criteria for Adverse Events (CTCAE) version 4 criteria.

          -  Previously had a severe hypersensitivity reaction to treatment with another
             monoclonal antibody.

          -  Has a known sensitivity to any component of carboplatin or paclitaxel or
             nab-paclitaxel.

          -  Has active autoimmune disease that has required systemic treatment in past 2 years.

          -  Is on chronic systemic steroids.

          -  Had prior treatment with any other anti-programmed cell death 1 (anti-PD-1), or
             programmed cell death ligand 1 (PD-L1) or PD-L2 agent or an antibody or a small
             molecule targeting other immuno-regulatory receptors or mechanisms.

          -  Has participated in any other pembrolizumab trial and has been treated with
             pembrolizumab.

          -  Has an active infection requiring therapy.

          -  Has known history of Human Immunodeficiency Virus (HIV).

          -  Has known active Hepatitis B or C. Active Hepatitis B.

          -  Is, at the time of signing informed consent, a regular user (including ""recreational
             use"") of any illicit drugs or has a recent history (within the last year) of
             substance abuse (including alcohol).

          -  Has interstitial lung disease or a history of pneumonitis that required oral or
             intravenous glucocorticoids to assist with management.

          -  Is pregnant or breastfeeding, or expecting to conceive or father children while on
             study drug and for the required duration of contraception after the last dose of
             study drug.
      "

NCT02414139,Phase 2,Novartis Pharmaceuticals,Industry,"A Phase II, Multicenter, Four-cohort Study of Oral cMET Inhibitor INC280 in Adult Patients With EGFR Wild-type (wt), Advanced Non-small Cell Lung Cancer (NSCLC) Who Have Received One or Two Prior Lines of Systemic Therapy for Advanced/Metastatic Disease",1,18,150,include,include,include,,,,include,include,,,,,,exclude,exclude,,,,require,,,,,,"
        Inclusion Criteria:

          -  Stage IIIB or IV NSCLC (any histology) at the time of study entry

          -  Histologically or cytologically confirmed diagnosis of NSCLC that is:

               1. EGFR wt as per patient standard of care by a validated test

               2. AND ALK-negative rearrangement as part of the patient standard of care by a
                  validated test

               3. AND (by central assessment) either:

                    -  Cohort 1: cMET GCN ‰ä´ 6 or

                    -  Cohort 2: cMET GCN ‰ä´4 and < 6, or

                    -  Cohort 3: cMET GCN < 4, or

                    -  Cohort 4: Patients with cMET mutations regardless of cMET GCN

          -  Patients must have received one or two prior lines of systemic therapy

          -  At least one measurable lesion as defined by RECIST 1.1.

          -  Patients must have recovered from all toxicities related to prior anticancer
             therapies to grade ‰ä_ 1 (CTCAE v 4.03). Patients with any grade of alopecia are
             allowed to enter the study.

          -  Patients must have adequate organ function

          -  ECOG performance status (PS) of 0 or 1. Details and other protocol-defined inclusion
             criteria may apply

        Exclusion Criteria:

          -  Prior treatment with crizotinib, or any other cMET or HGF inhibitor

          -  Patients with characterized EGFR mutations that predict sensitivity to EGFR therapy,
             including, but not limited to exon 19 deletions and exon 21 mutations.

          -  Patients with characterized ALK-positive rearrangement.

          -  Clinically significant, uncontrolled heart diseases.

          -  Patients receiving treatment with medications that cannot be discontinued at least 1
             week prior to first INC280 treatment and for the duration of the study:

               -  Strong and moderate inhibitors of CYP3A4

               -  Strong inducers of CYP3A4

          -  Impairment of GI function or GI disease that may significantly alter the absorption
             of INC280

          -  Patients receiving treatment with any enzyme-inducing anticonvulsant.

          -  Previous anti-cancer and investigational agents.

          -  Pregnant or nursing women

          -  Women of child-bearing potential, unless they are using highly effective methods of
             contraception

          -  Sexually active males unless they use a condom during intercourse

        Other protocol-defined exclusion criteria may apply
      "

NCT02544633,Phase 2,Mirati Therapeutics Inc.,Industry,"Phase 2, Parallel-Arm Study of MGCD265 in Patients With Locally Advanced or Metastatic Non-Small Cell Lung Cancer With Activating Genetic Alterations in Mesenchymal-Epithelial Transition Factor",1,18,150,include,include,include,,,include,include,include,,,,,,exclude,exclude,,,,require,,,,,,"
        Inclusion Criteria:

          -  Diagnosis of non-small cell lung cancer

          -  Metastatic or locally advanced disease

          -  Prior platinum chemotherapy

          -  Test result showing genetic change in MET tumor gene

          -  At least one tumor that can be measured on a radiographic scan

        Exclusion Criteria:

          -  Prior treatment with inhibitor of MET or HGF

          -  Prior positive test for EGFR mutation or ALK gene rearrangement

          -  Uncontrolled tumor in the brain
      "

NCT02674568,Phase 2,Stemcentrx,Industry,"An Open-label, Single-Arm, Phase 2 Study Evaluating the Efficacy, Safety and Pharmacokinetics of Rovalpituzumab Tesirine (SC16LD6.5) for Third-line and Later Treatment of Subjects With Relapsed or Refractory Delta-Like Protein 3-Expressing Small Cell Lung Cancer (TRINITY)",1,18,150,,,,include,,,,,,include,,,,,,,,,require,,,,,,"
        Inclusion Criteria:

          1. Adult aged 18 years or older

          2. Histologically confirmed small-cell lung cancer (SCLC) with documented disease
             progression after at least 2 prior systemic regimens, including at least one
             platinum-based regimen

          3. DLL3-expressing SCLC based on central immunohistochemistry (IHC) assessment of banked
             or otherwise representative tumor tissue. Positive is defined as staining in ‰ä´ 1% of
             tumor cells.

          4. Measurable disease as defined by RECIST 1.1

          5. Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1

          6. Minimum life expectancy of at least 12 weeks

          7. Subjects with a history of central nervous system (CNS) metastases must have
             documentation of stable or improved status based on brain imaging for at least 2
             weeks after completion of definitive treatment and within 2 weeks prior to first dose
             of Study Drug, off or on a stable dose of corticosteroids.

          8. Recovery to Grade 1 of any clinically significant toxicity (excluding alopecia) prior
             to initiation of study drug administration

          9. Adequate hematologic and organ function as confirmed by laboratory values

         10. Last dose of any prior therapy administered by the following time intervals before
             the first dose of study drug:

               -  Chemotherapy, small molecule inhibitors, radiation, and/or other investigational
                  anticancer agents (excluding investigational monoclonal antibodies): 2 weeks

               -  Immune-checkpoint inhibitors (i.e., anti-PD-1, anti-PD-L1, or anti-CTLA-4): 4
                  weeks

               -  Other monoclonal antibodies, antibody-drug conjugates, radioimmunoconjugates, or
                  T-cell or other cell-based therapies: 4 weeks (2 weeks with documented disease
                  progression)

         11. Females of childbearing potential must have a negative beta human chorionic
             gonadotropin (ë_-hCG) pregnancy test result within 7 days prior to the first dose of
             study drug. Females of non-childbearing potential are those who are postmenopausal
             greater than 1 year or who have had a bilateral tubal ligation or hysterectomy.

        Exclusion Criteria:

          1. Any significant medical condition, including any suggested by screening laboratory
             findings that, in the opinion of the investigator or sponsor, may place the subject
             at undue risk from the study, including but not necessarily limited to uncontrolled
             hypertension and/or diabetes, clinically significant pulmonary disease (e.g., chronic
             obstructive pulmonary disease requiring hospitalization within 6 months) or
             neurological disorder (e.g., seizure disorder active within 6 months)

          2. Documented history of a cerebral vascular event (stroke or transient ischemic
             attack), unstable angina, myocardial infarction, or cardiac symptoms consistent with
             New York Heart Association (NYHA) Class III-IV within 6 months prior to their first
             dose of study drug

          3. Recent or ongoing serious infection, including:

               -  Any active grade 3 or higher (per NCI CTCAE version 4.03) viral, bacterial, or
                  fungal infection within 2 weeks of the first dose of the study drug. Routine
                  antimicrobial prophylaxis is permitted.

               -  Known seropositivity for or active infection by human immunodeficiency virus
                  (HIV)

               -  Active Hepatitis B (by surface antigen expression or polymerase chain reaction)
                  or C (by polymerase chain reaction) infection or on hepatitis-related antiviral
                  therapy within 6 months of first dose of study drug.

          4. Women who are breastfeeding

          5. Systemic therapy with corticosteroids at >20 mg/day prednisone or equivalent within 1
             week prior to the first dose of study drug

          6. History of another invasive malignancy that has not been in remission for at least 3
             years. Exceptions to the 3 year limit include nonmelanoma skin cancer, curatively
             treated localized prostate cancer, and cervical cancer in situ on biopsy or squamous
             intraepithelial lesion on PAP smear

          7. Prior exposure to a pyrrolobenzodiazepine (PBD)-based drug, or known hypersensitivity
             to rovalpituzumab tesirine or excipient contained in the drug formulation, unless
             undergoing retreatment with rovalpituzumab tesirine in the context of this protocol
      "

NCT02735980,Phase 2,Eli Lilly and Company,Industry,A Phase 2 Study of LY2606368 in Patients With Extensive Stage Disease Small Cell Lung Cancer,1,18,150,,,,include,,,,,,include,,,,,,,,,,,,,,,"
        Inclusion Criteria:

          -  Have ED-SCLC and have received a prior platinum-based regimen

          -  Participants in Cohort 1 must have had an objective response to prior platinum-based
             therapy with subsequent progression ‰ä´90 days after the last dose of platinum

          -  Participants in Cohort 2 must have either not had an objective response to prior
             platinum based therapy or had progression <90 days after the last dose of platinum

          -  Have a performance status of 0 to 1 on the Eastern Cooperative Oncology Group scale

        Exclusion Criteria:

          -  Have received more than 2 prior therapies for ED-SCLC (including immunotherapy,
             targeted therapies, or chemotherapy)

          -  Have symptomatic central nervous system (CNS) malignancy or metastasis. Asymptomatic
             participants with treated CNS metastases are eligible for this study if they are not
             currently receiving corticosteroids to treat CNS metastases

          -  Have previously completed or withdrawn from this study or any other study
             investigating prexasertib or a checkpoint kinase I (CHK1) inhibitor or have shown
             hypersensitivity to any of the components of the prexasertib formulation

          -  Have a serious cardiac condition
      "

NCT02336451,Phase 2,Novartis Pharmaceuticals,Industry,"A Phase II, Multi-center, Open-label, Five-arm Study to Evaluate the Efficacy and Safety of Oral Ceritinib Treatment for Patients With ALK-positive Non-small Cell Lung Cancer (NSCLC) Metastatic to the Brain and/or to Leptomeninges",1,18,150,include,include,include,,,,,include,,,,,,require,,,,,,,,,,,"
        Inclusion Criteria:

          -  Histologically or cytologically confirmed diagnosis of metastatic NSCLC according to
             the 7th edition of the AJCC Cancer Staging Manual. In addition, the NSCLC must harbor
             an ALK rearrangement, as assessed using the FDA approved Vysis ALK Break Apart FISH
             Probe Kit (Abbott Molecular Inc.) test and scoring algorithm (including positivity
             criteria). If documentation of ALK rearrangement as described above is not locally
             available, a test to confirm ALK rearrangement must be performed by a Novartis
             designated central laboratory. Patients must wait for the central laboratory result
             of the ALK rearrangement status before initiating treatment with ceritinib

          -  At least one extracranial measurable lesion as defined by RECIST 1.1. A previously
             irradiated site lesion may only be counted as a target lesion if there is clear sign
             of progression since the irradiation.

          -  Patients may or may not have neurological symptoms but must be able to swallow and
             retain oral medication. Be neurologically stable within at least 1 week prior to the
             first dose of study drug.

          -  Patients may have received prior chemotherapy, crizotinib (other ALK inhibitors are
             not allowed), biologic therapy or other investigational agents. Patients must have
             recovered from all toxicities related to prior anticancer therapies to grade ‰ä_ 1
             (CTCAE v 4.03). Patients with any grade of alopecia are allowed to enter the study.

          -  Patient has life expectancy ‰ä´ 6 weeks.

          -  Patient has a WHO performance status 0-2.

        Patients in Arm 1 to 4 must also meet the following inclusion criteria:

        - Patients must have active brain metastases from NSCLC, confirmed by Gadolinium-enhanced
        MRI without concomitant leptomeningeal carcinomatosis. Dose of steroids must be stable for
        5 days before the baseline brain MRI.

        Patients in Arm 5 must also meet the following inclusion criteria:

        - Patients must be diagnosed with leptomeningeal carcinomatosis.

        Exclusion Criteria:

          -  Patients who need whole brain radiation to control the brain metastases. Patients
             will not be eligible unless treated brain lesions are progressive or new brain
             lesions are observed since the post whole brain radiation therapy MRI.

          -  Planning of any brain local treatment (including but not limited to surgery,
             stereotactic radiosurgery, whole brain radiation, intrathecal chemotherapy) following
             the administration of the first dose of study drug.

          -  Patient with a concurrent malignancy or history of a malignant disease other than
             NSCLC that has been diagnosed and/or required therapy within the past 3 years.
             Exceptions to this exclusion include the following: completely resected basal cell
             and squamous cell skin cancers, and completely resected carcinoma in situ of any
             type.

          -  Patient has impairment of GI function or GI disease that may significantly alter the
             absorption of ceritinib (e.g., ulcerative diseases, uncontrolled nausea, vomiting,
             diarrhea, or malabsorption syndrome).

          -  Patient is receiving unstable or increasing doses of corticosteroids.

          -  Patient has other severe, acute, or chronic medical conditions including uncontrolled
             diabetes mellitus or psychiatric conditions or laboratory abnormalities that in the
             opinion of the investigator may increase the risk associated with study
             participation, or that may interfere with the interpretation of study results.

        Other protocol-defined inclusion/exclusion criteria may apply.
      "

NCT02450539,Phase 2,Eli Lilly and Company,Industry,A Randomized Phase 2 Study of Abemaciclib (LY2835219) Versus Docetaxel in Patients With Stage IV Squamous Non-Small Cell Lung Cancer Previously Treated With Platinum-Based Chemotherapy,1,18,150,include,include,include,,,,,include,,,,,,,,,,,require,,,,,,"
        Inclusion Criteria:

          -  Confirmed diagnosis of stage IV NSCLC.

          -  Have progressed during or after platinum-based chemotherapy for advanced disease.

          -  Have not received prior treatment with docetaxel.

          -  Have availability of adequate formalin-fixed paraffin-embedded (FFPE) tumor derived
             material.

          -  Have adequate organ function including hematology, renal, and liver.

          -  Have good performance score (0-1).

          -  Have measureable disease per RECIST 1.1.

          -  Agree to use a reliable medically approved method of birth control.

        Exclusion Criteria:

          -  Have received prior treatment with any cyclin dependent kinase (CDK) 4 and 6
             inhibitor or participated in a clinical trial with a CDK 4 and 6 inhibitor and the
             treatment administered is not known.

          -  Are currently receiving treatment in a clinical trial involving an investigational
             product or non-approved use of a drug or device.

          -  Have the presence of unstable central nervous system (CNS) metastasis.

          -  Have had major surgery (excluding biopsy) < 28 days of the initial dose of study
             drug.
      "

NCT02259582,Phase 2,"OncoMed Pharmaceuticals, Inc.",Industry,"A 2-Arm Phase 2 Double-Blind Randomized Study of Carboplatin, Pemetrexed Plus Placebo Versus Carboplatin, Pemetrexed Plus Truncated Demcizumab as First-Line Treatment in Subjects With Stage IV Non-Squamous Non-Small Cell Lung Cancer",1,21,150,include,include,,,,,,include,,,,,,exclude,exclude,,exclude,1800,exclude,1800,,,,,"
        Main Inclusion Criteria:

          1. Signed Informed Consent Form

          2. Histologically or cytologically confirmed Stage IV non-squamous NSCLC

          3. Availability of FFPE tumor tissue, either fresh core-needle-biopsied or archived

          4. Age > or = to 21 years

          5. ECOG performance status of 0 or 1

          6. Disease that is measurable per RECIST v1.1

          7. Adequate organ and marrow function

          8. For women of childbearing potential, agreement to use two effective forms of
             contraception

        Main Exclusion Criteria:

          1. Histologically or cytologically documented, advanced, mixed non-small cell and small
             cell tumors or mixed adenosquamous carcinomas

          2. NSCLC with known EGFR mutation or anaplastic lymphoma kinase (ALK) gene translocation
             (such as EML4-ALK)

          3. Prior or ongoing therapy (including chemotherapy, antibody therapy, tyrosine kinase
             inhibitors, radiotherapy, immunotherapy, hormonal therapy, or investigational
             therapy) for the treatment of Stage IV non-squamous NSCLC

          4. Evidence of tumor invading major blood vessels, cavitation of one or more pulmonary
             tumor mass(es) ortracheo-esophageal fistula

          5. Brain metastases, leptomeningeal disease, uncontrolled seizure disorder, or active
             neurologic disease

          6. Malignancies other than non-squamous NSCLC successfully treated within 3 years prior
             to randomization (with the exception of certain early-stage cancers)

          7. History of a significant allergic reaction attributed to humanized or human
             monoclonal antibody therapy

          8. Significant intercurrent illness defined as an illness that may result in the
             subject's death prior to their death from non-squamous NSCLC and/or significantly
             limit their ability to comply with the requirements of this study

          9. Recent hemoptysis >2.5 mL or serious bleeding from another site, known bleeding
             disorder or coagulopathy or therapeutic anti-coagulation

         10. Major surgical procedure, open biopsy, or significant traumatic injury within 28 days
             prior to randomization, or anticipation of need for major surgical procedure during
             the course of the study
      "

NCT02387216,Phase 2,Merrimack Pharmaceuticals,Industry,"A Phase 2 Study of MM-121 in Combination With Docetaxel or Pemetrexed Versus Docetaxel or Pemetrexed Alone in Patients With Heregulin Positive, Locally Advanced or Metastatic Non-Small Cell Lung Cancer",1,18,150,include,include,include,,,,include,include,,,,,,exclude,exclude,,,,,,,,,,"
        Inclusion Criteria:

          -  Patients with a diagnosis of cytologically or histologically confirmed NSCLC with
             either metastatic disease (stage IV) or Stage IIIB disease not amenable to surgery
             with curative intent

          -  Failed an anti-PD-1 or anti-PD-L1 therapy and has not received more than 3 prior
             systemic therapies for primary or recurrent disease

          -  Tissue submitted for HRG-biomarker testing

          -  ECOG performance status (PS) of 0 or 1

        Exclusion Criteria:

          -  Known ALK mutation

          -  Presence of exon 19 deletion or exon 21 (L858R) substitution of the EGFR gene

          -  Received >3 prior systemic anti-cancer drug regimen for locally advanced disease

          -  Prior treatment with an anti-ErbB3 antibody

          -  CTCAE grade 3 or higher peripheral neuropathy

          -  Symptomatic CNS metastases or CNS metastases requiring steroids

          -  Any other active malignancy requiring systemic therapy

          -  Clinically significant cardiac disease
      "

NCT02250326,Phase 2,Celgene Corporation,Industry,"A Phase 2, Open-label, Multicenter Study to Assess Safety and Efficacy of Second/Third-line Treatment With Nabå¨-Paclitaxel (ABI-007) in Combination With Epigenetic Modifying Therapy of CC-486 , or Immunotherapy of Durvalumab (MEDI4736), or as Monotherapy in Subjects With Advanced Non-small Cell Lung Cancer (NSCLC)",1,18,150,include,include,include,,,,,include,,,,,,exclude,exclude,,,,require,,,,,,"
        Inclusion Criteria: 1.Age ‰ä´ 18 years the time of signing the Informed Consent Form (ICF).

        2. Understand and voluntarily provide written informed consent prior to the conduct of any
        study related assessments/procedures.

        3. Able to adhere to the study visit schedule and other protocol requirements. 4.
        Histologically or cytologically confirmed advanced NSCLC who will receive study therapy as
        second- or third-line of treatment for advanced disease.

        5. No other current active malignancy requiring anticancer therapy. 6. Radiographically
        documented measurable disease (defined by the presence of ‰ä´ 1 radiographically documented
        measurable lesion).

        7. One prior platinum-containing chemotherapy for metastatic or recurrent NSCLC unless
        patients are ineligible to receive it. Patients may have received no more than one line of
        chemotherapy; immunotherapy in prior line of treatment (first or second line) is allowed.
        Absolute neutrophil count (ANC) ‰ä´ 1500 cells/mm3.

        8. Platelets ‰ä´ 100,000 cells/mm3. 9. Hemoglobin (Hgb) ‰ä´ 9 g/dL. 10. Aspartate transaminase
        (AST/serum glutamic oxaloacetic transaminase [SGOT]) and alanine transaminase (ALT/serum
        glutamic pyruvic transaminase [SGPT]) ‰ä_ 2.5 ÌÑ upper limit of normal range (ULN) or ‰ä_ 5.0 ÌÑ
        ULN if liver metastases.

        11. Total bilirubin ‰ä_ 1.5 ULN (unless there is a known history of Gilberts Syndrome).

        12. Serum creatinine ‰ä_ 1.5 x ULN, or calculated creatinine clearance ‰ä´ 60 mL/min (if renal
        impairment is suspected 24-hour urine collection for measurement is required).

        13. Eastern Cooperative Oncology Group (ECOG) performance status 0 or 1. 14. Eastern
        Cooperative Oncology Group (ECOG) performance status 0 or 1. 15. Females of childbearing
        potential [defined as a sexually mature woman who (1) have not undergone hysterectomy (the
        surgical removal of the uterus) or bilateral oophorectomy (the surgical removal of both
        ovaries) or (2) have not been naturally postmenopausal for at least 24 consecutive months
        (ie, has had menses at any time during the preceding 24 consecutive months)] must:

          1. Have a negative pregnancy test (ÌÙ-hCG) as verified by the study doctor within 72
             hours prior to starting study therapy. She must agree to ongoing pregnancy testing
             during the course of the study, and after end of study therapy. This applies even if
             the subject practices true abstinence* from heterosexual contact.

          2. Either commit to true abstinence* from heterosexual contact (which must be reviewed
             on a monthly basis) or agree to use, and be able to comply with, effective
             contraception without interruption, 28 days prior to starting investigational product
             (IP), during the study therapy (including dose interruptions), and for 3 months after
             discontinuation of study therapy.

        Male subjects must:

          1. Practice true abstinence* or agree to use a condom during sexual contact with a
             pregnant female or a female of childbearing potential while participating in the
             study, during dose interruptions and for at least 6 months following IP
             discontinuation, even if he has undergone a successful vasectomy.

          2. Refrain from semen or sperm donation while taking durvalumab and for at least 3
             months after the last dose of durvalumab.

             16. Females must abstain from breastfeeding during study participation and 3 months
             after IP discontinuation.

             Exclusion Criteria:

               -  The presence of any of the following will exclude a subject from enrollment:

                    1. Refractory to prior taxane therapy for advanced disease. Prior taxane used
                       in the adjuvant setting does not exclude eligibility, provided there is no
                       disease recurrence within 12 months upon completion of chemotherapy in that
                       setting.

                    2. Evidence of active brain metastases, including leptomeningeal involvement
                       (prior evidence of brain metastasis are permitted only if asymptomatic and
                       clinically stable for at least 8 weeks following completion of therapy).
                       MRI of the brain (or CT scan w/contrast) is preferred.

                    3. Only evidence of disease is non-measurable at study entry.

                    4. Known activating EGFR mutations (such as exon 19 deletions or L858R).

                    5. Known activating EML4-ALK mutations.

                    6. Preexisting peripheral neuropathy of Grade > 2 (per NCI CTCAE v4.0).

                    7. Any unresolved toxicity NCI CTCAE Grade ‰ä´ 2 from previous anticancer
                       therapy with the exception of alopecia, vitiligo, and the laboratory values
                       defined in the inclusion criteria.

                    8. Venous thromboembolism within 1 month prior to Cycle 1 Day 1.

                    9. Current congestive heart failure (New York Heart Association Class II-IV).

                   10. History of the following within 6 months prior to Cycle 1 Day 1: a
                       myocardial infarction, severe/unstable angina pectoris, coronary/peripheral
                       artery bypass graft, New York Heart Association (NYHA) Class III-IV heart
                       failure, uncontrolled hypertension, clinically significant cardiac
                       dysrhythmia or clinically significant electrocardiogram (ECG) abnormality,
                       cerebrovascular accident, transient ischemic attack, or seizure disorder.

                   11. Known hepatitis B or C virus (HBV/HCV) infection, known history of human
                       immunodeficiency virus (HIV) infection, or receiving immunosuppressive or
                       myelosuppressive medications that would in the opinion of the investigator,
                       increase the risk of serious neutropenic complications, history of active
                       primary immunodeficiency, active tuberculosis (clinical evaluation that
                       includes clinical history, physical examination and radiographic findings,
                       and TB testing in line with local practice).

                   12. Active, uncontrolled bacterial, viral, or fungal infection(s) requiring
                       systemic therapy, defined as ongoing signs/symptoms related to the
                       infection without improvement despite appropriate antibiotics, antiviral
                       therapy, and/or other treatment.

                   13. History of interstitial lung disease, history of slowly progressive dyspnea
                       and unproductive cough, sarcoidosis, silicosis, idiopathic pulmonary
